customerid,recency,frequency,monetary,r_score,f_score,m_score,rfm_score,segment
17601,240,1,116.01,1,2,1,121,Hibernating
17142,240,1,579.00,1,1,3,113,Hibernating
14206,240,1,328.16,1,2,2,122,Hibernating
17362,240,2,312.23,1,2,2,122,Hibernating
15935,240,2,416.86,1,3,2,132,At Risk
14154,240,2,1345.62,1,3,4,134,At Risk
13120,239,1,30.60,1,2,1,121,Hibernating
17367,239,1,168.40,1,1,1,111,Hibernating
12769,239,1,1143.60,1,2,4,124,Hibernating
12639,239,1,486.10,1,1,2,112,Hibernating
12582,239,2,511.36,1,3,3,133,At Risk
15246,239,2,514.15,1,3,3,133,At Risk
18213,237,1,232.48,1,1,1,111,Hibernating
16193,237,1,314.45,1,2,2,122,Hibernating
13474,237,1,229.59,1,1,1,111,Hibernating
17582,237,1,175.27,1,1,1,111,Hibernating
12878,237,2,854.99,1,3,3,133,At Risk
17990,237,3,630.84,1,3,3,133,At Risk
14532,237,4,932.85,1,4,3,143,At Risk
17697,237,1,338.95,1,2,2,122,Hibernating
16947,236,1,406.48,1,1,2,112,Hibernating
12754,236,3,3010.74,1,4,5,145,At Risk
16617,236,1,151.85,1,1,1,111,Hibernating
18009,236,1,257.34,1,2,2,122,Hibernating
15749,236,3,44534.30,1,4,5,145,At Risk
16217,236,2,304.25,1,2,2,122,Hibernating
12585,235,2,2040.10,1,3,4,134,At Risk
12733,235,1,383.95,1,2,2,122,Hibernating
14242,235,2,280.55,1,2,2,122,Hibernating
17217,235,1,113.50,1,2,1,121,Hibernating
13101,235,1,101.19,1,2,1,121,Hibernating
14672,235,2,765.55,1,3,3,133,At Risk
15225,235,1,409.40,1,1,2,112,Hibernating
15717,235,1,150.30,1,1,1,111,Hibernating
17548,234,1,103.30,1,2,1,121,Hibernating
17946,234,2,149.58,1,2,1,121,Hibernating
15517,234,1,267.03,1,2,2,122,Hibernating
13485,234,1,454.24,1,1,2,112,Hibernating
17120,234,1,307.46,1,2,2,122,Hibernating
14148,234,1,157.20,1,1,1,111,Hibernating
14770,233,2,876.42,1,3,3,133,At Risk
17718,233,1,139.35,1,1,1,111,Hibernating
13482,233,1,184.64,1,1,1,111,Hibernating
12354,233,1,1079.40,1,2,4,124,Hibernating
12622,233,1,180.10,1,1,1,111,Hibernating
16587,233,1,225.15,1,1,1,111,Hibernating
12506,233,1,73.50,1,1,1,111,Hibernating
16163,233,2,856.60,1,3,3,133,At Risk
18183,228,2,632.07,1,3,3,133,At Risk
17277,228,2,1065.35,1,3,4,134,At Risk
16823,228,1,358.38,1,2,2,122,Hibernating
17670,228,1,205.70,1,1,1,111,Hibernating
12573,228,1,160.54,1,1,1,111,Hibernating
16834,228,1,413.46,1,1,2,112,Hibernating
16698,227,2,1998.00,1,3,4,134,At Risk
15891,227,1,524.52,1,1,3,113,Hibernating
17187,227,1,203.95,1,1,1,111,Hibernating
16965,227,1,201.19,1,1,1,111,Hibernating
18220,227,1,305.28,1,2,2,122,Hibernating
14271,226,1,112.32,1,2,1,121,Hibernating
14022,226,1,440.00,1,1,2,112,Hibernating
17991,226,2,93.35,1,2,1,121,Hibernating
17893,226,1,112.25,1,2,1,121,Hibernating
15210,226,1,331.18,1,2,2,122,Hibernating
16227,226,1,314.22,1,2,2,122,Hibernating
13229,226,1,160.95,1,1,1,111,Hibernating
15143,226,1,259.45,1,2,2,122,Hibernating
15223,226,2,755.75,1,3,3,133,At Risk
16634,223,2,217.90,1,2,1,121,Hibernating
14304,223,1,383.45,1,2,2,122,Hibernating
17501,221,2,288.60,1,2,2,122,Hibernating
14149,221,1,446.62,1,1,2,112,Hibernating
16055,221,1,134.80,1,1,1,111,Hibernating
14245,220,2,1693.45,1,3,4,134,At Risk
17394,220,1,203.87,1,1,1,111,Hibernating
13731,220,2,610.59,1,3,3,133,At Risk
17443,220,1,534.24,1,1,3,113,Hibernating
16610,220,1,75.66,1,1,1,111,Hibernating
17646,220,3,1008.39,1,4,4,144,At Risk
14393,219,1,67.95,1,1,1,111,Hibernating
15759,219,3,253.04,1,4,2,142,At Risk
13711,219,2,252.06,1,2,2,122,Hibernating
14423,219,1,265.20,1,2,2,122,Hibernating
17578,219,1,143.46,1,1,1,111,Hibernating
17374,219,2,495.77,1,3,3,133,At Risk
18239,219,5,1561.61,1,4,4,144,At Risk
17849,219,4,605.80,1,4,3,143,At Risk
16457,219,1,208.36,1,1,1,111,Hibernating
14340,219,1,134.70,1,1,1,111,Hibernating
16714,219,3,1161.53,1,3,4,134,At Risk
14697,219,2,188.61,1,2,1,121,Hibernating
16990,219,1,179.00,1,1,1,111,Hibernating
13762,219,1,306.72,1,2,2,122,Hibernating
16109,219,2,611.88,1,3,3,133,At Risk
14199,219,1,185.40,1,1,1,111,Hibernating
18078,218,2,336.13,1,2,2,122,Hibernating
15668,218,1,76.32,1,1,1,111,Hibernating
12414,218,3,562.41,1,4,3,143,At Risk
15235,218,12,2247.51,1,5,5,155,At Risk
15552,218,1,90.12,1,2,1,121,Hibernating
13723,218,1,199.85,1,1,1,111,Hibernating
13952,218,2,3251.07,1,3,5,135,At Risk
17174,218,1,59.90,1,1,1,111,Hibernating
17604,218,2,309.36,1,2,2,122,Hibernating
16319,218,1,404.40,1,1,2,112,Hibernating
18227,218,1,93.75,1,2,1,121,Hibernating
14161,216,3,1110.52,1,4,4,144,At Risk
13642,216,1,354.80,1,2,2,122,Hibernating
14353,216,1,90.60,1,2,1,121,Hibernating
15092,216,2,457.81,1,3,2,132,At Risk
13561,216,1,141.86,1,1,1,111,Hibernating
12888,215,2,354.12,1,2,2,122,Hibernating
12355,215,1,459.40,1,1,2,112,Hibernating
16756,215,1,239.40,1,1,1,111,Hibernating
12821,215,1,92.72,1,2,1,121,Hibernating
14699,215,1,109.13,1,2,1,121,Hibernating
18120,215,1,111.15,1,2,1,121,Hibernating
16306,214,6,632.27,1,5,3,153,At Risk
17597,214,1,2044.37,1,1,4,114,Hibernating
16431,214,3,642.81,1,3,3,133,At Risk
15063,214,1,370.80,1,2,2,122,Hibernating
15381,214,2,596.85,1,3,3,133,At Risk
14288,214,1,426.60,1,1,2,112,Hibernating
15433,214,2,533.30,1,3,3,133,At Risk
13990,214,1,311.30,1,2,2,122,Hibernating
15729,213,1,85.00,1,1,1,111,Hibernating
15079,213,4,895.61,1,4,3,143,At Risk
13052,213,1,348.15,1,2,2,122,Hibernating
14920,213,2,977.77,1,3,4,134,At Risk
17889,213,2,203.87,1,2,1,121,Hibernating
18133,213,1,931.50,1,2,3,123,Hibernating
13235,213,1,1031.07,1,2,4,124,Hibernating
15732,213,2,294.12,1,2,2,122,Hibernating
14988,212,1,334.54,1,2,2,122,Hibernating
12625,212,2,2683.82,1,3,5,135,At Risk
16006,212,1,101.40,1,2,1,121,Hibernating
16244,212,2,1522.75,1,3,4,134,At Risk
12590,212,2,9864.26,1,3,5,135,At Risk
13837,212,2,271.24,1,2,2,122,Hibernating
12976,212,1,738.60,1,1,3,113,Hibernating
17970,212,1,582.59,1,1,3,113,Hibernating
14000,212,1,635.66,1,1,3,113,Hibernating
18218,212,2,662.08,1,3,3,133,At Risk
16116,212,1,612.78,1,1,3,113,Hibernating
16943,212,3,816.73,1,4,3,143,At Risk
12857,211,2,1106.40,1,3,4,134,At Risk
14873,211,1,519.68,1,1,3,113,Hibernating
12770,211,1,1351.45,1,2,4,124,Hibernating
15333,209,1,1028.56,1,2,4,124,Hibernating
17263,209,1,63.44,1,1,1,111,Hibernating
14689,209,1,112.80,1,2,1,121,Hibernating
14888,208,1,369.20,1,2,2,122,Hibernating
14489,208,1,463.38,1,1,2,112,Hibernating
15813,208,2,1303.91,1,3,4,134,At Risk
13976,207,1,357.98,1,2,2,122,Hibernating
14320,207,2,477.79,1,3,2,132,At Risk
17504,207,9,2997.03,1,5,5,155,At Risk
14620,206,2,412.78,1,3,2,132,At Risk
13659,206,2,1573.20,1,3,4,134,At Risk
17556,206,1,157.90,1,1,1,111,Hibernating
13531,206,2,483.80,1,3,2,132,At Risk
13572,206,1,1384.25,1,2,4,124,Hibernating
12690,206,1,389.01,1,2,2,122,Hibernating
17245,205,1,171.45,1,1,1,111,Hibernating
14896,205,2,468.77,1,3,2,132,At Risk
15648,205,2,657.35,1,3,3,133,At Risk
14442,205,2,1589.82,1,3,4,134,At Risk
17871,205,1,155.90,1,1,1,111,Hibernating
12353,205,1,89.00,1,2,1,121,Hibernating
12897,205,2,216.50,1,2,1,121,Hibernating
13887,205,1,349.55,1,2,2,122,Hibernating
13391,204,1,59.80,1,1,1,111,Hibernating
17455,204,1,131.70,1,1,1,111,Hibernating
16226,204,3,255.12,1,4,2,142,At Risk
18048,204,2,172.29,1,2,1,121,Hibernating
13243,204,1,600.07,1,1,3,113,Hibernating
15724,202,2,218.25,1,2,1,121,Hibernating
17176,202,1,306.13,1,2,2,122,Hibernating
14647,202,1,243.22,1,1,1,111,Hibernating
15292,202,1,180.94,1,1,1,111,Hibernating
13227,202,1,257.70,1,2,2,122,Hibernating
15705,202,1,143.10,1,1,1,111,Hibernating
14195,202,2,1012.00,1,3,4,134,At Risk
13339,201,1,860.12,1,1,3,113,Hibernating
13223,201,2,163.20,1,2,1,121,Hibernating
13479,201,2,300.95,1,2,2,122,Hibernating
13737,201,1,339.60,1,2,2,122,Hibernating
17715,201,1,326.40,1,2,2,122,Hibernating
14817,201,2,1110.34,1,3,4,134,At Risk
18202,200,3,1396.99,1,3,4,134,At Risk
15314,200,1,327.97,1,2,2,122,Hibernating
17375,200,3,400.10,1,3,2,132,At Risk
15042,200,1,135.93,1,1,1,111,Hibernating
16763,199,1,611.85,1,1,3,113,Hibernating
17955,199,4,557.30,1,4,3,143,At Risk
15882,199,4,516.36,1,4,3,143,At Risk
14009,199,2,695.61,1,3,3,133,At Risk
16448,199,1,188.89,1,1,1,111,Hibernating
17770,199,5,1143.27,1,4,4,144,At Risk
14985,199,2,296.75,1,2,2,122,Hibernating
14705,199,1,179.00,1,1,1,111,Hibernating
14740,198,3,1448.21,1,3,4,134,At Risk
12547,198,2,207.80,1,2,1,121,Hibernating
16838,198,2,588.85,1,3,3,133,At Risk
17550,198,3,267.16,1,3,2,132,At Risk
16449,198,2,707.69,1,3,3,133,At Risk
14816,198,1,271.85,1,2,2,122,Hibernating
16356,198,3,211.77,1,4,1,141,At Risk
12974,198,1,144.80,1,1,1,111,Hibernating
15104,197,2,1027.44,1,3,4,134,At Risk
14280,197,1,134.04,1,1,1,111,Hibernating
16034,197,3,437.70,1,4,2,142,At Risk
13135,197,1,3096.00,1,1,5,115,Hibernating
14828,197,3,2139.76,1,4,5,145,At Risk
12999,197,3,455.88,1,4,2,142,At Risk
16275,197,1,559.87,1,1,3,113,Hibernating
16323,197,1,207.50,1,1,1,111,Hibernating
14625,197,2,899.63,1,3,3,133,At Risk
17051,195,1,247.14,1,1,1,111,Hibernating
17152,195,3,1689.50,1,4,4,144,At Risk
16889,195,3,1578.67,1,3,4,134,At Risk
12426,195,1,582.73,1,1,3,113,Hibernating
16567,195,2,865.60,1,3,3,133,At Risk
15925,195,1,207.15,1,1,1,111,Hibernating
15897,195,2,222.05,1,2,1,121,Hibernating
16810,193,1,309.54,1,2,2,122,Hibernating
18190,193,2,284.46,1,2,2,122,Hibernating
13398,193,1,457.34,1,1,2,112,Hibernating
16483,193,1,139.35,1,1,1,111,Hibernating
18231,193,5,2083.27,1,4,5,145,At Risk
17454,193,4,517.53,1,4,3,143,At Risk
13070,193,1,228.80,1,1,1,111,Hibernating
12790,193,1,324.92,1,2,2,122,Hibernating
14377,192,2,617.05,1,3,3,133,At Risk
13062,192,1,346.98,1,2,2,122,Hibernating
15643,192,3,664.00,1,3,3,133,At Risk
13475,192,4,1431.78,1,4,4,144,At Risk
16424,192,1,133.56,1,1,1,111,Hibernating
17472,192,3,710.29,1,4,3,143,At Risk
17900,191,2,112.20,1,2,1,121,Hibernating
15658,191,5,1024.10,1,4,4,144,At Risk
14453,191,1,119.93,1,2,1,121,Hibernating
17531,191,1,296.70,1,2,2,122,Hibernating
16529,191,1,455.25,1,1,2,112,Hibernating
15918,191,2,334.23,1,2,2,122,Hibernating
16230,190,2,542.03,1,3,3,133,At Risk
13294,190,2,873.74,1,3,3,133,At Risk
13885,190,2,506.80,1,3,3,133,At Risk
12601,190,5,577.06,1,4,3,143,At Risk
15508,190,6,1000.27,1,5,4,154,At Risk
16967,190,1,319.02,1,2,2,122,Hibernating
15405,190,1,349.10,1,2,2,122,Hibernating
16117,190,1,232.21,1,1,1,111,Hibernating
16659,190,1,39.12,1,1,1,111,Hibernating
13682,188,1,59.50,1,1,1,111,Hibernating
16963,188,1,110.55,1,2,1,121,Hibernating
12468,188,2,729.54,1,3,3,133,At Risk
16883,188,2,276.73,1,2,2,122,Hibernating
14512,188,2,275.28,1,2,2,122,Hibernating
14682,188,2,52.00,1,2,1,121,Hibernating
17708,188,2,267.08,1,2,2,122,Hibernating
12802,187,1,427.58,1,1,2,112,Hibernating
15852,187,2,160.71,1,2,1,121,Hibernating
16849,187,1,124.57,1,2,1,121,Hibernating
16611,187,1,129.49,1,1,1,111,Hibernating
15386,187,1,394.14,1,2,2,122,Hibernating
16520,187,3,1046.57,1,4,4,144,At Risk
17987,186,1,198.57,1,1,1,111,Hibernating
17707,186,2,152.40,1,2,1,121,Hibernating
14867,186,3,710.28,1,4,3,143,At Risk
17874,186,6,683.46,1,5,3,153,At Risk
14542,186,1,103.25,1,2,1,121,Hibernating
13395,186,1,307.72,1,2,2,122,Hibernating
17854,186,2,311.26,1,2,2,122,Hibernating
17026,186,2,154.83,1,2,1,121,Hibernating
17124,186,1,298.89,1,2,2,122,Hibernating
12891,186,3,331.00,1,3,2,132,At Risk
12868,186,6,1607.06,1,5,4,154,At Risk
14375,186,1,257.68,1,2,2,122,Hibernating
18072,186,1,247.44,1,1,1,111,Hibernating
16832,185,3,199.15,1,4,1,141,At Risk
13466,185,1,307.90,1,2,2,122,Hibernating
12383,185,5,1850.56,1,4,4,144,At Risk
17409,185,2,771.85,1,3,3,133,At Risk
16955,185,4,518.67,1,4,3,143,At Risk
14622,185,1,320.58,1,2,2,122,Hibernating
15609,185,1,298.48,1,2,2,122,Hibernating
13900,184,3,740.95,1,4,3,143,At Risk
13811,184,3,814.50,1,4,3,143,At Risk
16113,184,1,161.38,1,1,1,111,Hibernating
15780,184,3,475.28,1,4,2,142,At Risk
14231,184,3,925.71,1,3,3,133,At Risk
14501,184,2,251.21,1,2,2,122,Hibernating
14241,184,1,213.70,1,1,1,111,Hibernating
16614,183,1,506.19,1,1,3,113,Hibernating
17234,183,1,149.89,1,1,1,111,Hibernating
16581,183,1,105.84,1,2,1,121,Hibernating
13686,183,1,72.00,1,1,1,111,Hibernating
13533,183,3,270.79,1,3,2,132,At Risk
15098,183,3,39916.50,1,4,5,145,At Risk
18281,181,1,80.82,1,1,1,111,Hibernating
14450,181,3,483.25,1,3,2,132,At Risk
14823,181,3,321.43,1,3,2,132,At Risk
13080,180,1,58.08,1,1,1,111,Hibernating
12732,180,1,236.26,1,1,1,111,Hibernating
15069,180,1,1109.53,1,2,4,124,Hibernating
14573,180,9,1653.42,1,5,4,154,At Risk
17349,180,1,110.75,1,2,1,121,Hibernating
13663,180,1,189.47,1,1,1,111,Hibernating
13936,180,1,376.58,1,2,2,122,Hibernating
17795,180,2,350.39,2,2,2,222,Hibernating
13476,179,2,1238.47,2,3,4,234,At Risk
17749,179,2,674.52,2,2,3,223,Hibernating
17179,179,3,711.79,2,4,3,243,At Risk
15912,179,2,264.62,2,2,2,222,Hibernating
15574,178,4,702.25,2,4,3,243,At Risk
17536,178,1,76.50,2,1,1,211,Hibernating
12809,178,1,489.31,2,1,2,212,Hibernating
13343,178,1,353.43,2,2,2,222,Hibernating
14222,178,1,683.17,2,1,3,213,Hibernating
16644,178,2,833.78,2,3,3,233,At Risk
18165,178,1,302.46,2,2,2,222,Hibernating
16461,178,1,151.42,2,1,1,211,Hibernating
15219,177,1,305.75,2,2,2,222,Hibernating
12908,177,2,750.00,2,3,3,233,At Risk
16257,177,1,46.95,2,1,1,211,Hibernating
13826,177,1,189.50,2,1,1,211,Hibernating
16276,177,1,810.60,2,1,3,213,Hibernating
16739,177,1,323.00,2,2,2,222,Hibernating
18168,177,6,1169.94,2,5,4,254,At Risk
13951,177,3,674.45,2,3,3,233,At Risk
17446,177,2,120.90,2,2,1,221,Hibernating
15585,177,1,455.30,2,1,2,212,Hibernating
14037,177,2,147.20,2,2,1,221,Hibernating
17204,176,4,1564.56,2,4,4,244,At Risk
14491,176,2,340.93,2,2,2,222,Hibernating
13568,174,1,192.85,2,1,1,211,Hibernating
16805,174,2,460.59,2,3,2,232,At Risk
13005,174,2,513.70,2,3,3,233,At Risk
15909,174,1,191.94,2,1,1,211,Hibernating
15535,174,4,536.40,2,4,3,243,At Risk
16484,174,2,404.30,2,3,2,232,At Risk
17616,174,3,571.20,2,4,3,243,At Risk
14162,174,2,289.36,2,2,2,222,Hibernating
18062,174,3,720.52,2,3,3,233,At Risk
16050,174,1,137.90,2,1,1,211,Hibernating
12837,174,1,134.10,2,1,1,211,Hibernating
13618,174,1,177.34,2,1,1,211,Hibernating
17879,174,1,178.52,2,1,1,211,Hibernating
15280,173,1,113.12,2,2,1,221,Hibernating
18260,173,6,2643.20,2,5,5,255,At Risk
15076,173,1,880.85,2,1,3,213,Hibernating
15389,173,1,500.00,2,1,3,213,Hibernating
15700,173,2,696.68,2,3,3,233,At Risk
16320,173,2,1038.46,2,3,4,234,At Risk
15825,173,1,532.94,2,1,3,213,Hibernating
17897,173,3,566.60,2,4,3,243,At Risk
15921,173,1,336.03,2,2,2,222,Hibernating
15016,173,1,170.04,2,1,1,211,Hibernating
15507,172,1,492.36,2,1,3,213,Hibernating
17960,172,1,73.78,2,1,1,211,Hibernating
16526,172,1,290.36,2,2,2,222,Hibernating
15412,172,1,190.53,2,1,1,211,Hibernating
16114,171,1,135.75,2,1,1,211,Hibernating
16247,171,1,114.56,2,2,1,221,Hibernating
17877,171,1,237.61,2,1,1,211,Hibernating
15041,171,1,180.35,2,1,1,211,Hibernating
16214,171,3,1062.75,2,4,4,244,At Risk
14998,171,2,429.87,2,3,2,232,At Risk
14643,171,2,693.81,2,3,3,233,At Risk
14584,170,4,1042.26,2,4,4,244,At Risk
16287,170,1,142.50,2,1,1,211,Hibernating
17630,170,2,503.60,2,3,3,233,At Risk
13300,170,1,371.89,2,2,2,222,Hibernating
16647,170,2,214.06,2,2,1,221,Hibernating
13929,170,2,842.65,2,3,3,233,At Risk
15379,170,7,3703.29,2,5,5,255,At Risk
17709,170,1,137.45,2,1,1,211,Hibernating
14656,170,2,291.05,2,2,2,222,Hibernating
15130,170,1,330.11,2,2,2,222,Hibernating
13937,170,1,158.85,2,1,1,211,Hibernating
15384,170,2,642.41,2,3,3,233,At Risk
15665,169,2,2242.01,2,3,5,235,At Risk
17704,169,2,885.19,2,3,3,233,At Risk
13856,169,3,388.50,2,3,2,232,At Risk
15258,169,2,623.16,2,3,3,233,At Risk
14795,167,1,131.45,2,1,1,211,Hibernating
12548,167,1,95.20,2,2,1,221,Hibernating
15644,167,4,813.00,2,4,3,243,At Risk
17969,167,2,228.20,2,2,1,221,Hibernating
12493,166,2,433.74,2,3,2,232,At Risk
17110,166,1,163.30,2,1,1,211,Hibernating
18193,166,1,243.76,2,1,1,211,Hibernating
15976,166,2,430.94,2,3,2,232,At Risk
17980,166,3,811.45,2,4,3,243,At Risk
13453,166,2,356.98,2,2,2,222,Hibernating
14481,165,2,636.51,2,3,3,233,At Risk
13656,165,2,379.65,2,3,2,232,At Risk
14351,165,1,51.00,2,1,1,211,Hibernating
15146,165,2,1327.16,2,3,4,234,At Risk
16545,165,1,339.30,2,2,2,222,Hibernating
16473,165,3,316.11,2,3,2,232,At Risk
15537,164,1,110.92,2,2,1,221,Hibernating
16553,164,12,5719.82,2,5,5,255,At Risk
17408,164,1,32.65,2,2,1,221,Hibernating
16801,164,4,1619.73,2,4,4,244,At Risk
14327,164,1,311.65,2,2,2,222,Hibernating
17391,164,2,508.80,2,3,3,233,At Risk
14267,163,3,1516.24,2,3,4,234,At Risk
12424,163,2,1760.96,2,3,4,234,At Risk
14803,163,3,845.55,2,3,3,233,At Risk
15578,163,1,127.10,2,1,1,211,Hibernating
17891,163,1,203.86,2,1,1,211,Hibernating
13745,163,1,300.04,2,2,2,222,Hibernating
17505,162,2,1145.84,2,3,4,234,At Risk
17123,162,1,345.30,2,2,2,222,Hibernating
14016,162,4,4341.21,2,4,5,245,At Risk
14338,162,2,588.22,2,3,3,233,At Risk
15483,162,4,233.81,2,4,1,241,At Risk
12922,162,1,405.38,2,1,2,212,Hibernating
16498,162,2,100.97,2,2,1,221,Hibernating
17781,160,2,188.02,2,2,1,221,Hibernating
15007,160,1,156.91,2,1,1,211,Hibernating
17939,160,1,99.14,2,2,1,221,Hibernating
13833,160,1,384.80,2,2,2,222,Hibernating
17105,160,2,665.78,2,3,3,233,At Risk
17899,160,1,155.80,2,1,1,211,Hibernating
17464,159,1,289.96,2,2,2,222,Hibernating
15349,159,2,473.81,2,3,2,232,At Risk
17765,159,3,371.88,2,4,2,242,At Risk
16344,159,1,101.10,2,2,1,221,Hibernating
16338,158,1,214.80,2,1,1,211,Hibernating
16146,158,3,734.13,2,3,3,233,At Risk
14905,158,2,616.15,2,3,3,233,At Risk
18142,158,2,1019.52,2,3,4,234,At Risk
14352,158,4,1078.96,2,4,4,244,At Risk
13338,158,1,487.02,2,1,2,212,Hibernating
15646,158,3,447.64,2,3,2,232,At Risk
13085,158,2,416.08,2,3,2,232,At Risk
18203,158,1,160.42,2,1,1,211,Hibernating
12980,158,9,7374.90,2,5,5,255,At Risk
17046,158,1,642.02,2,1,3,213,Hibernating
12977,157,1,39.24,2,1,1,211,Hibernating
17341,157,3,781.36,2,3,3,233,At Risk
13253,157,2,1030.40,2,3,4,234,At Risk
17440,157,3,186.42,2,4,1,241,At Risk
12450,157,2,197.88,2,2,1,221,Hibernating
15889,157,2,446.87,2,3,2,232,At Risk
16919,157,11,2596.45,2,5,5,255,At Risk
14645,157,2,597.09,2,3,3,233,At Risk
15334,157,3,351.67,2,4,2,242,At Risk
16829,157,1,197.22,2,1,1,211,Hibernating
13291,156,1,361.11,2,2,2,222,Hibernating
15512,156,2,121.00,2,2,1,221,Hibernating
13583,156,1,781.03,2,1,3,213,Hibernating
13302,156,1,63.75,2,1,1,211,Hibernating
14459,156,1,1837.92,2,1,4,214,Hibernating
14021,156,3,631.90,2,3,3,233,At Risk
13699,156,1,308.58,2,2,2,222,Hibernating
18013,156,2,187.29,2,2,1,221,Hibernating
12648,155,1,318.05,2,2,2,222,Hibernating
14104,155,2,216.21,2,2,1,221,Hibernating
14264,155,2,333.97,2,2,2,222,Hibernating
15182,155,2,622.85,2,3,3,233,At Risk
18037,155,6,70.02,2,5,1,251,At Risk
15920,155,4,167.50,2,4,1,241,At Risk
16398,155,2,1705.80,2,3,4,234,At Risk
16091,155,2,315.06,2,2,2,222,Hibernating
13955,155,2,322.96,2,2,2,222,Hibernating
17787,153,4,1865.19,2,4,4,244,At Risk
18024,153,2,389.78,2,3,2,232,At Risk
17126,153,5,1004.75,2,4,4,244,At Risk
13754,152,2,282.60,2,2,2,222,Hibernating
14552,152,1,165.07,2,1,1,211,Hibernating
15577,152,3,258.88,2,3,2,232,At Risk
15045,152,2,735.66,2,3,3,233,At Risk
13678,152,1,232.60,2,1,1,211,Hibernating
12717,152,2,1030.98,2,3,4,234,At Risk
15265,152,2,1506.12,2,3,4,234,At Risk
17337,152,4,2027.87,2,4,4,244,At Risk
13675,152,2,486.82,2,3,2,232,At Risk
14548,151,2,652.80,2,3,3,233,At Risk
12669,151,3,2744.03,2,4,5,245,At Risk
18121,150,2,673.10,2,3,3,233,At Risk
15895,150,1,179.17,2,1,1,211,Hibernating
14400,150,1,574.70,2,1,3,213,Hibernating
16998,150,4,295.00,2,4,2,242,At Risk
13420,150,2,159.85,2,2,1,221,Hibernating
15795,150,1,610.01,2,1,3,213,Hibernating
13667,150,1,305.02,2,2,2,222,Hibernating
16450,150,1,311.92,2,2,2,222,Hibernating
14847,149,1,309.40,2,2,2,222,Hibernating
12653,149,2,2209.85,2,3,5,235,At Risk
12405,149,1,1710.39,2,2,4,224,Hibernating
15402,149,2,626.77,2,3,3,233,At Risk
14461,149,3,2103.06,2,4,5,245,At Risk
12915,149,2,363.65,2,3,2,232,At Risk
15256,149,1,98.45,2,2,1,221,Hibernating
17259,149,2,603.37,2,3,3,233,At Risk
14891,149,2,554.38,2,3,3,233,At Risk
12815,148,2,1063.46,2,3,4,234,At Risk
14722,148,1,187.92,2,1,1,211,Hibernating
14958,148,3,499.68,2,3,3,233,At Risk
17444,148,3,2940.04,2,4,5,245,At Risk
15004,148,1,1246.32,2,2,4,224,Hibernating
17948,148,1,358.56,2,2,2,222,Hibernating
16054,146,1,783.90,2,1,3,213,Hibernating
12833,146,1,417.38,2,1,2,212,Hibernating
13967,146,1,80.70,2,1,1,211,Hibernating
15716,146,4,1118.81,2,4,4,244,At Risk
17984,146,1,152.68,2,1,1,211,Hibernating
13821,145,2,385.64,2,3,2,232,At Risk
16859,145,2,747.81,2,3,3,233,At Risk
14758,145,4,1484.06,2,4,4,244,At Risk
13564,145,3,1749.02,2,4,4,244,At Risk
15713,144,2,356.70,2,2,2,222,Hibernating
16112,144,4,195.74,2,4,1,241,At Risk
12947,144,6,1603.99,2,5,4,254,At Risk
14117,144,1,90.00,2,2,1,221,Hibernating
12840,144,4,2726.77,2,4,5,245,At Risk
12875,144,2,343.23,2,2,2,222,Hibernating
17866,143,1,329.65,2,2,2,222,Hibernating
12521,143,1,599.68,2,1,3,213,Hibernating
17962,143,1,102.83,2,2,1,221,Hibernating
12510,143,2,982.57,2,3,4,234,At Risk
16807,143,3,1121.59,2,4,4,244,At Risk
15802,143,1,451.42,2,1,2,212,Hibernating
17694,142,1,283.12,2,2,2,222,Hibernating
15108,142,4,1300.25,2,4,4,244,At Risk
16654,142,4,601.27,2,4,3,243,At Risk
15623,142,1,301.03,2,2,2,222,Hibernating
17660,142,1,196.00,2,1,1,211,Hibernating
14259,142,1,120.00,2,2,1,221,Hibernating
15704,141,4,2293.62,2,4,5,245,At Risk
18262,141,1,149.48,2,1,1,211,Hibernating
18146,141,2,160.35,2,2,1,221,Hibernating
16866,141,3,207.74,2,4,1,241,At Risk
16178,139,1,197.90,2,1,1,211,Hibernating
17935,139,2,145.79,2,2,1,221,Hibernating
12763,139,2,494.08,2,3,3,233,At Risk
16305,139,1,361.22,2,2,2,222,Hibernating
12916,139,4,3006.15,2,4,5,245,At Risk
13802,139,3,4599.42,2,3,5,235,At Risk
13037,139,3,881.07,2,3,3,233,At Risk
17649,139,1,868.49,2,1,3,213,Hibernating
16948,139,3,435.02,2,4,2,242,At Risk
17265,139,2,562.90,2,3,3,233,At Risk
17312,139,3,644.30,2,3,3,233,At Risk
12864,139,1,147.12,2,1,1,211,Hibernating
13116,139,1,501.14,2,1,3,213,Hibernating
14100,138,1,194.90,2,1,1,211,Hibernating
17693,138,1,200.47,2,1,1,211,Hibernating
13296,138,1,87.40,2,1,1,211,Hibernating
14692,138,4,591.55,2,4,3,243,At Risk
17040,138,1,449.73,2,1,2,212,Hibernating
15372,138,1,2007.40,2,1,4,214,Hibernating
13492,137,3,1269.84,2,3,4,234,At Risk
15855,137,5,712.24,2,4,3,243,At Risk
13194,136,1,60.70,2,1,1,211,Hibernating
16696,136,4,657.90,2,4,3,243,At Risk
13730,136,2,752.60,2,3,3,233,At Risk
15261,136,1,254.82,2,2,2,222,Hibernating
16447,136,1,259.01,2,2,2,222,Hibernating
